title,description,publishedAt
Helldivers 2 Set to Become First Sony-Published Game to Launch on Xbox,"Helldivers 2 is coming to Xbox next month, developer Arrowhead Game Studios announced on Thursday. The game will mark the first time a Sony-published title will launch on the Xbox platform.",2025-07-04T07:03:26Z
Microsoft cuts 830 jobs in Washington as global layoffs target Xbox and sales,"Microsoft's recent layoff of 9,000 employees affected 830 workers in Washington, Microsoft's home state in the US. Read more...",2025-07-04T07:02:01Z
"Spencer Reportedly Loved Playing ZeniMax Online’s New Game in March, Only to Cancel It in July","More details about the canceled ZeniMax Online game have appeared in a Bloomberg report, including that Microsoft Gaming CEO Phil Spencer had played it and loved it as recently as March. Here's the direct quote: But Blackbird’s cancellation was particularly s…",2025-07-04T07:00:00Z
Boxxe bolsters position with CAE buy,Channel consolidation continues with Cisco and Microsoft partner snapped up in the latest deal,2025-07-04T07:00:00Z
Xbox Invites Developers To AI Roundtable The Same Day It Does Mass Layoffs,"Yesterday was awful for people who work at Microsoft and the gaming industry in general. Thousands at the company either saw colleagues laid off or were laid off themselves, while outside observers watched as more game developers and projects were put on the …",2025-07-04T06:55:31Z
American And Chinese Energy Policies: Great Minds Think Alike,"While often focusing on policy differences, the overarching goals are the same. How will our leaders bring us energy independence and all goes with it?",2025-07-04T06:45:20Z
"Microsoft tells Windows, Mac, Android users to turn it ""off & on"" if OneDrive Search breaks","Microsoft last month confirmed that OneDrive Search was not working properly for many users. Today, the company has shared a workaround if the function still does not work. Read more...",2025-07-04T06:42:01Z
EU businesses want a pause on AI regulations so they can cope with unregulated Big Tech players,"Mistral fears continental companies may not get time to escape 'distant, behemoth corporations' French AI business Mistral on Thursday announced an initiative called “AI for Citizens,” which it says offers a way to work with governments and public institution…",2025-07-04T06:33:06Z
NTLM relay attacks are back from the dead,"NTLM relay attacks are the easiest way for an attacker to compromise domain-joined hosts. While many security practitioners think NTLM relay is a solved problem, it is not – and, in fact, it may be getting worse. Anecdotally, they are used in most attacks see…",2025-07-04T06:30:40Z
Promising Technology Stocks To Add to Your Watchlist – July 2nd,"NVIDIA, Apple, Palantir Technologies, Microsoft, Meta Platforms, Advanced Micro Devices, and Alphabet are the seven Technology stocks to watch today, according to MarketBeat’s stock screener tool. Technology stocks are shares of companies whose primary busine…",2025-07-04T06:06:59Z
5 Lessons We Must Learn From The World’s Biggest Cyber Heists,"Cybercrime cost the global economy $10 trillion in 2024, with major breaches like Equifax, WannaCry, and a $25 million deepfake scam revealing security vulnerabilities.",2025-07-04T05:58:29Z
Profiting From Genocide,"War is a business. So is genocide. The latest report submitted by Francesca Albanese, Special Rapporteur on the Occupied Palestinian Territories, lists 48 corporations and institutions, including Palantir Technologies Inc., Lockheed Martin, Alphabet Inc., Ama…",2025-07-04T05:53:48Z
How Oracle Is Winning the AI Compute Market – SemiAnalysis,"Oracle’s Cloud Infrastructure business is firing on all cylinders and is greatly outpacing expectations. All eyes are on the high-profile Stargate JV and the massive Abilene, Texas datacenter…",2025-07-04T05:47:01Z
