title,description,publishedAt
"Xpeng G7 launches in China at $27,325; Tesla Model Y rival secures 10,000 orders in 9 minutes","Chinese EV maker Xpeng has officially launched the G7 SUV. The Tesla Model Y rival starts at just $27,325 and has secured over 10,000 orders, with the first deliveries expected to occur in a couple of weeks.",2025-07-04T07:04:00Z
Promising Utility Stocks To Research – July 2nd,"Tesla, Berkshire Hathaway, Ford Motor, Riot Platforms, Eaton, Rivian Automotive, and Quanta Services are the seven Utility stocks to watch today, according to MarketBeat’s stock screener tool. Utility stocks are shares of companies that provide essential publ…",2025-07-04T06:38:46Z
Best Industrial Stocks To Watch Now – July 2nd,"Tesla, Broadcom, Micron Technology, Thermo Fisher Scientific, First Solar, Chevron, and Texas Instruments are the seven Industrial stocks to watch today, according to MarketBeat’s stock screener tool. Industrial stocks are equity shares of companies engaged i…",2025-07-04T06:38:46Z
Best Energy Stocks To Research – July 2nd,"Tesla, Broadcom, GE Vernova, AltC Acquisition, Vale, First Solar, and Exxon Mobil are the seven Energy stocks to watch today, according to MarketBeat’s stock screener tool. Energy stocks are shares of publicly traded companies involved in the production, expl…",2025-07-04T06:38:46Z
Today in Germany: A roundup of the latest news on Friday,"A Flixbus overturns, the Pension Insurance Fund casts doubt on mothers' pension plans, the EV market rebounds, and more news from around Germany on Friday, July 4th.",2025-07-04T06:25:43Z
Best Automotive Stocks Worth Watching – July 2nd,"Tesla, NVIDIA, and Micron Technology are the three Automotive stocks to watch today, according to MarketBeat’s stock screener tool. Automotive stocks are equity shares of publicly traded companies involved in the design, manufacture, distribution and sale of …",2025-07-04T06:04:58Z
"Trump's tax plan won't help Tesla, but 2 other EV companies got a stock boost","American electric vehicle makers Rivian and Lucid rose as much as 4.6% and 8.8%, respectively, on Thursday.",2025-07-04T05:50:07Z
Australia’s best-selling electric cars in the first six months of 2025,"The mid-year report for electric vehicle sales reveals the Tesla Model Y remains the most popular in Australia, but with fresh challengers.",2025-07-04T05:47:28Z
"26% jump in new vehicle sales pinned on Investment Boost, changes to All-of-Government contract",Tesla and BYD fight it out in a resurgent EV market.,2025-07-04T05:00:00Z
‘Elon has finally woken up’: Musk battles to save Tesla from Trump,"Billionaire’s political threats have not stopped the president’s ‘big, beautiful bill’ hurting the electric-car maker’s profits",2025-07-04T04:20:20Z
Nvidia set to become world's most valuable company in history,"Shares of the company were up 2.2% at $160.6 in morning trading, giving a higher market capitalisation than Apple's record closing value of $3.915 trillion on December 26, 2024",2025-07-04T03:42:11Z
"Richmond man caught with deadly fentanyl, cocaine, and cash in Tesla, sentenced to eleven years after massive drug bust","Jason Thomas Howard Conrad received an eleven-year prison sentence. He pleaded guilty to drug trafficking charges. Police found him with fentanyl, cocaine, and cash in his Tesla car. The arrest followed surveillance of a suspected drug house in Richmond. Conr…",2025-07-04T03:22:01Z
"Cloudflare’s AI game-changer, Intel’s challenges and the Trump-Musk catfight",Artificial intelligence model providers such as OpenAI and Anthropic that have had a mostly free ride on scraping the entire internet to train their models may be facing a serious roadblock now.  Internet infrastructure services firm Cloudflare this week enab…,2025-07-04T03:06:38Z
Samsung's Texas blues and BYD's lead over Tesla,,2025-07-04T03:02:17Z
Tesla's German car sales continue to fall in June,"Tesla's sales in Germany plunged 60% in June, with first-half 2025 figures down 58.2%, according to KBA. This contrasts with an 8.6% overall rise in EV registrations in June. Sales also fell across other European markets, while Chinese rival BYD saw a surge, …",2025-07-04T02:50:47Z
2025 最新香港 Model 3 、Model Y 各型號售價減價後價錢 : RWD / LR / Performance,"Model 3 價格調整即時生效，「一換一」計劃後下調最多 18%，後輪驅動版本 (RWD) 連同限時購車優惠 […]
The post 2025 最新香港 Model 3 、Model Y 各型號售價減價後價錢 : RWD / LR / Performance appeared first on 香港 unwire.hk 玩生活．樂科技.",2025-07-04T02:18:59Z
Norway Reached 96.9% Market Share For EVs In June,"Electric vehicles claimed a dominant 96.9% market share in Norway in June 2025, with the Tesla Model Y alone accounting for over 27% of all new car registrations. Mobility Portal Europe reports: According to the Norwegian Public Roads Administration (OFV), 17…",2025-07-04T01:30:00Z
"Trump announces 'big beautiful bill' signing celebration; How this mega law changes taxes, walls and wallets","US President Donald Trump is set to sign the ‘One Big Beautiful Bill’ on Independence Day after Republicans squeezed it through Congress. The bill cements tax cuts, lifts defence and border spending, and restricts social aid. Trump called it a “new Golden Age…",2025-07-04T00:46:24Z
AGL Energy buys South Australia's Virtual Power Plant from Tesla,,2025-07-04T00:37:05Z
Analyst sends bold message on Tesla stock after disappointing news,,2025-07-04T00:15:17Z
Two Things Tesla Needs for $1000 Share Price,"Tesla has started executing on Robotaxi but a lot more must happen to enable a big share price run. There are two key things that must happen. There needs to be the massive expansion to at least 20,000 vehicles offering robotaxi in multiple cities. There need…",2025-07-03T22:17:18Z
BYD BEV Sales Grow 42.5% in June!,"BYD’s plugin vehicle sales continue to increase. Like the overall EV market globally, and leading the overall EV market globally, BYD sales have been growing and growing and growing. After years of trailing Tesla but being by far the closest to the company in…",2025-07-03T22:09:14Z
Smart Money Buys the Solar Dip,"When the market reacts sharply to short-term pressures, long-term fundamentals often get obscured. That may be the case with Enphase Energy (NASDAQ: ENPH). Solar stocks have struggled in 2025. Enphase shares are down roughly 65% from 2024 highs, impacted by r…",2025-07-03T22:00:00Z
"Trump’s landmark bill clears House, but not all his billionaire allies are on board","Congress clears landmark bill backed by Trump, paving the way for sweeping tax cuts.",2025-07-03T21:51:31Z
"Flying car stock gets bold Wall Street call, rewrites urban mobility",Eyes are on what could come next for this flying car name.,2025-07-03T21:47:00Z
$3.92 Trillion Shock: Nvidia Is Coming for Apple's Throne,Wall Street's AI obsession just pushed Nvidia within inches of history--can Apple hold the crown?,2025-07-03T21:44:45Z
Key provisions in Donald Trump's 'Big Beautiful Bill',"US Republicans have passed a major legislative package, dubbed the ""One Big Beautiful Bill,"" giving President Donald Trump the biggest legislative victory of his second term.",2025-07-03T21:43:41Z
Key provisions in Donald Trump's 'Big Beautiful' bill,"US Republicans have passed a major legislative package, dubbed the ""One Big Beautiful Bill,"" giving President Donald Trump the biggest legislative victory of his second term.",2025-07-03T21:43:41Z
"Tesla sold 5,000 Cybertrucks Q2, Optimus is in chaos, plus: the Infinity Train!","The numbers are in and they are all bad for Tesla fans – the company sold just 5,000 Cybertruck models in Q4 of 2025, and built some 30% more “other” vehicles than it delivered. It just gets worse and worse, on today’s tension-building episode of Quick Charge…",2025-07-03T21:17:49Z
Musk's xAI scores permit for gas-burning turbines to power Grok supercomputer in Memphis,Elon Musk's artificial intelligence startup attained an official permit to power its Memphis supercomputer facility using natural gas-burning turbines.,2025-07-03T21:17:39Z
"BYD overtakes Kia and Mitsubishi with record sales in June 2025, led by the Shark 6 hybrid ute",BYD – which only sells electric and plug-in hybrid vehicles – entered the Top Five...,2025-07-03T21:00:00Z
Tesla Stans Can’t Believe They’re About to Lose a Boatload of Money on Elon’s Robotaxi Launch,A Polymarket betting market got a little complicated by the disappointing launch.,2025-07-03T20:45:44Z
Austin Robtaxi Traffic – June-July Waymo 12 Versus Tesla 1 Incident,The City of Austin is reporting robotaxi traffic incidents with daily updates. Waymo has about ten times the number of vehicles and double the driving area as Tesla in Austin. Waymo has been operating since March and Tesla since June 22. Waymo has 12 incident…,2025-07-03T20:41:24Z
Stocks Rally as US Payroll Report Encourages Economic Optimism,"The S&P 500 Index ($SPX ) (SPY ) on Thursday closed up +0.83%, the Dow Jones Industrials Index ($DOWI ) (DIA ) closed up +0.77%, and the Nasdaq 100 Index...",2025-07-03T20:35:52Z
"""Big, beautiful bill"" ends tax breaks for EVs. Here's what to know.",The budget bill passed by Congress on Thursday pulls the plug on federal tax incentives for electric vehicles.,2025-07-03T20:30:30Z
What to know about buying electric vehicles after the federal tax incentives end,Congress passed a bill that ends federal tax incentives for EVs.,2025-07-03T20:28:15Z
What to know about buying electric vehicles after the federal tax incentives end,Congress passed a bill that ends federal tax incentives for EVs.,2025-07-03T20:28:15Z
U.S. stocks close higher after strong June jobs report,"NEW YORK, July 3 (Xinhua) -- U.S. stocks climbed to fresh record highs on Thursday after a stronger-than-expected June jobs report bolstered confidence in the economy. Read full story",2025-07-03T20:24:00Z
"Someone just built a Toyota Cybertruck, and we have so many questions","The Tesla Cybertruck's design has spawned replicas, but this Toyota Prius replica might be the carziest.",2025-07-03T20:00:00Z
Tesla launches Oasis Supercharger with solar farm and off-grid batteries,"Tesla has launched its new Oasis Supercharger, the long-promised EV charging station of the future, with a solar farm and off-grid batteries.



 more…",2025-07-03T19:58:37Z
"Nepal’s Current Affairs Update: From Politics to Technology — July 4, 2025 (Asar 19, 2082)","Watch on YouTube Nepal is witnessing a wide array of significant developments, spanning across politics, economy, energy, automobiles, technology, health, law and order, tourism, and diaspora engagement. The following is a comprehensive breakdown of the key n…",2025-07-03T19:57:36Z
Tesla Is in Disarray. Musk Has Already Moved Beyond Caring About Cars,,2025-07-03T19:47:20Z
What to know about buying electric vehicles after the federal tax incentives end,The massive tax and spending cut bill that Congress passed Thursday ends federal tax incentives for electric vehicles. Buyers have until Sept. 30 to qualify for the federal tax credits on EVs before they are terminated. But experts say there are still strong …,2025-07-03T19:38:40Z
US Oil Drillers Continue to Back Off On Price Slump,"The total number of active drilling rigs for oil and gas in the United States fell yet again this week, according to new data that Baker Hughes published on Thursday, following a 7-rig decrease in the week prior. The total rig count in the US fell by 8 to 539…",2025-07-03T19:15:00Z
Elon Musk urges release of Epstein files weeks after accusing Trump of being involved in fiery X rant,Elon Musk made a bombshell claim about his former 'first buddy' Donald Trump in a fiery X rant last month,2025-07-03T19:11:56Z
"People Who Work In HR Anonymously Share The Biggest Office Scandals They’ve Had To Deal With, And Here Are 22 Of The Wildest Ones","Who doesn't like some workplace drama? Well, some people actually don't, but I think a lot of us would be eager to hear the latest tea about our coworkers. There's one group of people that will likely hear about all the scandals, whether they want it or not. …",2025-07-03T19:10:57Z
Steel Industry Reacts to BYD's New European Factory,"Via Metal Miner   Chinese automaker BYD recently appointed Austria’s Voestalpine as its first steel supplier for the planned production plant in Hungary. On June 24, the Linz-headquartered steel industry leader officially announced it will begin supplying aut…",2025-07-03T19:00:00Z
The Worst Parts of Trump and the GOP’s Disastrous Tax Bill,"Donald Trump and the GOP’s so-called “Big Beautiful Bill” is a disaster for immigrants, the environment, and the health care of millions of Americans.",2025-07-03T18:43:53Z
"Trump is 'Claiming Credit' for Bombshell Report on Elon Musk's Alleged Drug Use, Author Says",President Donald Trump is reportedly claiming he helped leak details about Tesla CEO Elon Musk's alleged drug use to The New York Times.,2025-07-03T18:39:19Z
The 'Big Beautiful Bill' is headed to Trump's desk,"After weeks of work, the House passed the Senate version of the megabill on Thursday, sending it to Trump's desk to sign.",2025-07-03T18:32:57Z
Musk's antics and distractions are backfiring as Tesla's car business stalls,"Musk's antics and distractions are backfiring as Tesla's car business stalls
Robotaxis, humanoid robots, and fights with Trump can't hide declining EV sales
Comment Tesla reported its vehicle delivery and production numbers for Q2 2025 this week, and while th…",2025-07-03T18:28:57Z
Tesla Model Y no longer the world’s best selling car… with a possible asterisk,"The Tesla Model Y was dethroned as the world’s best selling car last year, according to data from JATO dynamics. It was beaten by the Toyota RAV4, by a margin of just 0.16%.



 more…",2025-07-03T18:25:40Z
Experts Say the Actual Value of Tesla's Stock Is a Ticking Time Bomb,"If a recent rally in the company's share price is any indication, investors are buying Tesla CEO Elon Musk's vision of leaning into autonomous driving and a robotaxi service. Counterintuitively, the company's shares rose almost four percent on Wednesday, desp…",2025-07-03T18:23:55Z
"Tesla planned to supply over 250,000 Cybertrucks per year they were only off on demand by 92% [Facepalm]","Tesla planned to supply over 250,000 Cybertrucks per year they were only off on demand by 92%",2025-07-03T18:20:07Z
Cybertruck Dreams Shatter As Musk's 250K Goal Unravels,"A pickup truck carefully designed so that the likes of Blade Runner and James Bond would be proud to drive it could be facing a demand decline that would force changes from Tesla Inc (NASDAQ:TSLA).
What Happened: Tesla CEO Elon Musk had grand ambitions for th…",2025-07-03T18:17:40Z
"Aventon and Velotric 4th of July sales take up to $720 off e-bikes to annual lows, EcoFlow 48-hour flash sale, LG, Husqvarna, more","We’ve got plenty of seasonal sales in today’s Green Deals, led by Aventon’s 4th of July Sale that is taking up to $500 off its e-bike lineup, with prices getting lower than we’ve seen this year, like on the Aventure 2 All-Terrain e-bike that has dropped to a …",2025-07-03T18:17:04Z
Musk's antics and distractions are backfiring as Tesla's car business stalls,"Robotaxis, humanoid robots, and fights with Trump can't hide declining EV sales
Comment Tesla reported its vehicle delivery and production numbers for Q2 2025 this week, and while the figures weren't quite as low in absolute terms as Q1, they still mark a wor…",2025-07-03T18:15:35Z
"Tesla’s shock Q2 delivery surprise may have been driven by smaller unexpected markets, leaving Wall Street puzzled","Tesla’s vehicle deliveries in Turkey and Norway last month were ten times the volume sold in Germany despite being minor in size when compared with Europe’s largest economy. While this sudden spike in sales helped the company meet Q2 delivery estimates, it co…",2025-07-03T18:06:57Z
"After Trump Warns Elon Musk To 'Close Up Shop,' China Rallies Behind World's Richest Man: 'There's No Need To Keep Putting Up With It'","Tesla Inc. CEO (NASDAQ:TSLA) and the world's richest man, Elon Musk, have found an unusual source of support in the form of Chinese social media users amid...",2025-07-03T18:00:42Z
"Tesla’s shock Q2 delivery surprise may have been driven by smaller unexpected markets, leaving Wall Street puzzled","In order to meet Q2 delivery estimates, Elon Musk may have redirected sales to smaller markets not deep enough to sustain such high volumes over longer periods of time.",2025-07-03T17:56:00Z
Tesla Stock Rallies After Q2 Deliveries As Investors Feared The Worst,"Access to this page has been denied because we believe you are using automation tools to browse the website.
This may happen as a result of the following:
- Javascript is disabled or blocked by an extension (ad blockers for example)
- Your browser does not su…",2025-07-03T17:55:39Z
Tesla struggles in Germany with 60 pct drop in June sales,"BERLIN, July 3 (Xinhua) -- Tesla's sales in Germany slumped 60 percent in June compared to a year earlier, even as overall battery electric vehicle (BEV) registrations rose, Germany's motor vehicle authority (KBA) said on Thursday. Read full story",2025-07-03T17:53:00Z
Katie Miller—who left Trump’s White House with Elon Musk—surfaces at xAI,"Katie Miller has emerged as a key spokesperson for Musk while her husband, Stephen Miller, remains President Trump's deputy chief of staff.",2025-07-03T17:42:33Z
"OK Tesla sales are down 13.5%, but why did 384,122 people buy one last quarter? [Interesting]","OK Tesla sales are down 13.5%, but why did 384,122 people buy one last quarter?",2025-07-03T17:35:05Z
Slow Sales of Tesla’s ‘Other Models’ Point to a Cyberdud,,2025-07-03T17:33:41Z
Analyst revamps Rigetti price target for one unexpected reason,Here’s what could happen to Rigetti stock next.,2025-07-03T17:07:00Z
Is Tesla Stock Headed for a Major Correction? What Investors Should Know,,2025-07-03T16:37:43Z
Fiscal rules are silly but important as Reeves has banged on about them and markets care,"You're probably tired by now of hearing all about ""black holes"".",2025-07-03T16:36:00Z
Is Tesla Stock Headed for a Major Correction? What Investors Should Know.,"Tesla’s premium valuation, long supported by high growth rates, disruptive technology, and Musk’s personal brand, is looking increasingly difficult to defend...",2025-07-03T16:32:42Z
Wedbush Analysts Say 'Heart and Lungs' of Tesla's Sales Growth Intact in China,"Tesla's sales declined in Germany once again in June, falling 60% compared to the same month a year ago, while some analysts were looking past Wednesday's...",2025-07-03T16:31:44Z
Who Won and Lost in Trump’s Tax Bill,"Business investors and wealthy Americans are among the biggest winners in President Donald Trump’s tax bill. Those hit the hardest by the sweeping package include elite universities, who face new levies, and immigrants.",2025-07-03T16:20:03Z
"How China's new auto giants left GM, VW and Tesla in the dust","BYD, Chery and other Chinese car makers have reshaped global competition through their unprecedented agility. They have found ways to develop new models in less than half the time it takes their foreign rivals, helping to drive explosive growth. SHENZHEN - In…",2025-07-03T15:56:27Z
"Tesla’s June Deliveries Accounted For 47 Percent Of Its Q2 Deliveries Vs. The 41 To 44 Percent Historical Average, Q3 To See Pulled Forward Demand","Tesla surprised investors this week by dramatically outperforming some of the most bearish projections for its Q2 deliveries. While the final number ended up falling short of Wall Street's consensus expectations, the delta between the two was just 0.2 percent…",2025-07-03T15:52:29Z
Is Tesla screwed?,"Elon Musk’s anger over the One Big Beautiful Bill Act was evident this week as the world’s richest man took to X, the social media platform he owns, to lambast President Donald Trump’s signature legislation. But there’s plenty of anger from investors at the p…",2025-07-03T15:51:35Z
This AI Startup Cracks Open Pre-IPO Investing For Everyone,"Backed by Breyer Capital, Jarsy gives everyday investors $10 access to pre-IPO giants like SpaceX, Stripe and Anthropic.",2025-07-03T15:45:51Z
Let’s All Laugh at Dr. Phil for a Minute,"It has been pretty impossible not to doomscroll this week. The potential passage of the Big Beautiful Bill, which will hurt millions of people, has been on my mind all week. When faced with so many people being hurt, even...
Read more...",2025-07-03T15:38:09Z
Musk Doubles Down on Creating New Party After Poll Says Nearly Half of Americans Would Support It: 'Encouraging',"About 40% of voters said they are likely to support a new political party proposed by Elon Musk, according to fresh polling from Quantus Insights.",2025-07-03T15:34:17Z
Nvidia set to become world's most valuable company,"Nvidia was on track to become the most valuable company in history today, with the chipmaker's market capitalisation reaching $3.92 trillion as Wall Street doubled down on optimism about AI.",2025-07-03T15:24:02Z
Right Now,"Key Points
 
 
 
 
Tesla (NASDAQ: TSLA) saw a 41% year-over-year sales drop in Europe in May and continues to lose market share in China and the U.S., pressured by intense local EV competition and pricing wars.
 
 
 
The company’s pivot toward autonomous driv…",2025-07-03T15:19:57Z
"Huawei makes bold claim with 3,000 km-range electric car battery",Chinese technology giant Huawei is best known for its mobile phones and 5G equipment - and for being the subject of scrutiny by some Western governments over...,2025-07-03T15:18:59Z
Tesla deliveries drop for second quarter amid growing backlash against Elon Musk,"Tesla delivered 384,122 vehicles in the second quarter of 2025, marking a 13.5% decline compared to the 443,956 units a year ago. Analysts had, on average, expected deliveries to be around 394,378 vehicles, though some estimates were as low as 360,080 units –…",2025-07-03T15:17:00Z
Nvidia primed to become the world’s most valuable company ever,"In Thursday trading, Nvidia is poised to become the most valuable company ever, with its market cap hitting $3.92 trillion, fueled by…
The post Nvidia primed to become the world’s most valuable company ever appeared first on MacDailyNews.",2025-07-03T15:00:44Z
Elon Musk Hired a Dozen Texas Lobbyists This Year. State Law Keeps the Extent of Their Influence Under Wraps. (Lauren McGaughy/ProPublica),"Lauren McGaughy / ProPublica:
Elon Musk Hired a Dozen Texas Lobbyists This Year.  State Law Keeps the Extent of Their Influence Under Wraps.  —  Musk, the billionaire businessman behind Tesla and SpaceX, influenced several new Texas laws this year.  How his l…",2025-07-03T15:00:01Z
What Happened to DOGE? Number of Government Jobs Surges,"73,000 government jobs were added in June, weeks after Elon Musk's dramatic departure from DOGE.",2025-07-03T14:59:43Z
Goldman Finds 'Net Purchase Intent' For Tesla Begins Recovery,"Goldman Finds 'Net Purchase Intent' For Tesla Begins Recovery 
 
Wednesday marked delivery report day for Tesla and Rivian, as both electric vehicle makers posted figures reflecting ongoing pressure from waning demand and intensifying competition. Offering fr…",2025-07-03T14:57:33Z
"Xpeng launches G7, a new Tesla Model Y competitor for just $27,000","Xpeng has officially launched its new G7 electric SUV in China, entering the fiercely competitive electric crossover market with a starting price of just 195,800 yuan ($27,325 USD). The G7 is positioned squarely to compete with the Tesla Model Y and the newly…",2025-07-03T14:55:44Z
Nvidia set to become the world's most valuable company in history,"Nvidia's newest chips have made gains in training the largest artificial-intelligence models, fueling demand for products by the Santa Clara, California, tech company. Microsoft is currently the second-most valuable company on Wall Street, with a market capit…",2025-07-03T14:31:24Z
What's next for Diddy's empire,"Sean ""Diddy"" Combs may have dodged a possible sentence of life in prison, but he's not a free man yet.",2025-07-03T14:26:50Z
Trump advances massive spending bill,House Republicans have narrowly overcome internal resistance to move the president’s flagship legislation forward Read Full Article at RT.com,2025-07-03T14:26:21Z
Nvidia set to become the world's most valuable company in history,"Nvidia was on track to become the most valuable company in history on Thursday, with the chipmaker's market capitalization reaching $3.92 trillion as Wall Street doubled down on optimism about AI.Shares of the leading designer of high-end AI chips were up 2.2…",2025-07-03T14:26:15Z
